ID  ,问题                                                                                                                                                                    ,答案
3110,如果分数可以，服从专业调剂，是不是一定录取，有专业级差吗?或者有没有其他录取限制?                                                                                                                             ,"若服从调剂，提档后保证录取。无专业级差。
"
3111,您好，请问北京考生，651分，排名2504，您看报考贵校的希望大吗？谢谢！                                                                                                                                 ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3112,请问临床医学（深圳）与临床医学有什么区别？                                                                                                                                                 ,"临床医学（深圳）由医学院（深圳校区）开设，临床医学由中山医学院（广州校区）开设，只是办学地点不同，人才培养基本没有区别。
"
3113,福建2020年理科2020位次能否被贵校临床专业录取？                                                                                                                                           ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3114,尊敬的老师您好，我校在西藏国家专项招生2017-2019年录取分数网站没有找到，想咨询一下2017-2019年我校在西藏国家专项，文科，汉族考生招生的最低分数线，为盼，感谢百忙中解答！                                                                          ,"2019年的国家专项录取情况http://admission.sysu.edu.cn/zs01a/1363147.htm。2018年的国家专项录取情况http://admission.sysu.edu.cn/zs01a/55974.htm。2017年的国家专项录取情况http://admission.sysu.edu.cn/zs01a/53483.htm
"
3115,请问医学院大一可以转专业吗？                                                                                                                                                        ,"您好，临床医学一般限制转入不限制转出。
"
3116,请问老师，北京考生，分数642，排名3378，贵校的法学录取可能性大吗？                                                                                                                                  ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3117,医学院深圳校区现在是在深圳上课，还是在广州？                                                                                                                                                ,"您好，目前在广州，预计明年下半年搬至深圳。
"
3118,医学院深圳校区和广州校区毕业证一样吗？                                                                                                                                                   ,"您好，一样。
"
3119,山东纯文647分，5183位次，报考学校录取概率怎么样？谢谢                                                                                                                                        ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3120,山东649，位次4760，选考化生政，请问报考贵校有希望被录取吗？                                                                                                                                     ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3121,老师，如果我们是采档进线，填了服从调济后，大一或大二能转专业吗？                                                                                                                                      ,"为充分调动学生的学习积极性，有利于学生的自身发展，学校允许确有专长或有特殊困难的学生转专业，使学生能根据个人特殊兴趣、专长选学专业，促进学生的个性发展。相关具体事宜可咨询中山大学教务部020-84112345。
"
3122,请问在填报志愿时在特殊类型招生里面只填中山大学预录取的一个专业而且服从调剂吗？还是填多个专业                                                                                                                        ,"填写预录取专业即可。
"
3123,老师，请问高校专项计划和普通本科一批都在本科一批填报，那么谁先录取呢？报了贵校高校专项计划且进入入选名单，过一本线，那还用不用填报普通本科一批的志愿                                                                                            ,"同时填报，但是优先高校专项的录取。
"
3124,您好，我是从大一回高中复读的学生，今年排在云南省879名，请问贵校的临床医学收不收复读生？如果收，那这个排名有希望吗？                                                                                                           ,"您好，临床医学招收复读生，该专业去年在云南理科招收最低位次为400名，请参考，谢谢！
"
3125,我想学贵校基础医学，但是基础医学这个专业未对河北招生，我想先学习其他专业，再转到基础医学，可以吗？转到基础医学有什么条件吗？                                                                                                        ,"为充分调动学生的学习积极性，有利于学生的自身发展，学校允许确有专长或有特殊困难的学生转专业，使学生能根据个人特殊兴趣、专长选学专业，促进学生的个性发展。相关具体事宜可咨询中山大学教务部020-84112345。
"
3126,色弱考生不能报考贵校什么专业                                                                                                                                                        ,"根据教育部《普通高等学校招生体检工作指导意见》，轻度色觉异常（俗称色弱）不能录取的专业：以颜色波长作为严格技术标准的化学类、化工与制药类、药学类、生物科学类、公安技术类、地质学类各专业，医学类各专业；生物工程、生物医学工程、动物医学、动物科学、野生动物与自然保护区管理、...[详细]
"
3127,强基计划入围后，通过校考后，可以选择不被录取吗？                                                                                                                                              ,"不可以。
"
3128,福建考生，强基计划入围了，已经确定了去校考，但后来反悔可以不去参加校考吗？                                                                                                                                 ,"可以。
"
3129,可以从分数要求比较低的专业转到分数要求比较高的专业吗？民族班会因为高考分数较低而影响到转专业吗？                                                                                                                      ,"高考成绩不会影响。民族班不受影响。
"
3130,您好，山东考生，选科物化生，总分668，报贵校是否有机会？哪个专业比较合适？                                                                                                                                ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3131,贵校的岭南学院与国际金融学院的经济学有何不同？今年经济学录取分数在山东能到多少？                                                                                                                              ,"请电话联系负责贵省的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3132,山东选科物理化学生物645省排名5826，录取几率有多大？                                                                                                                                         ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3133,山东高考全省3827名，想去贵校法学系，有希望吗？                                                                                                                                             ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3134,老师您好！我是今年广东文科考生，分数619，省排名496，请问报考法学专业被录取的可能性大吗？谢谢老师！                                                                                                                  ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3135,浙江考生654分，位次7362，报考贵校的法学或工商管理有希望录取吗                                                                                                                                    ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3136,我是河南考生，理科645分，排名11903，想用国家专项计划报中山大学，被录取的几率有多少?                                                                                                                        ,"2019年的国家专项录取情况http://admission.sysu.edu.cn/zs01a/1363147.htm。 2018年的国家专项录取情况http://admission.sysu.edu.cn/zs01a/55974.htm 2017年的国家专项录取情况http://admission.sysu.edu.cn/zs01a/53483.htm
"
3137,河南理科667想上贵校哲学系，有希望吗                                                                                                                                                   ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3138,您好，老师，我是山东考生家长，孩子今年总分644分，全省位次5970，有意向报贵校的生物科学类，请问录取可能性大吗？谢谢！                                                                                                         ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3139,您好，请问填写服从调剂，是否可列明不接受的专业？                                                                                                                                              ,"您好，我校没有此项安排。
"
3140,考试我是广东文科考生，高考考了606分，你看我有机会入读贵校吗？                                                                                                                                      ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3141,老师，山东考生全文组合628分，省排名11409有望被贵校录取么                                                                                                                                      ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3142,政史生组合644分，不分文理全省排名6137，冲一冲贵校文科类专业有希望吗？若有，麻烦老师推荐，谢谢！                                                                                                                   ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3143,1其他专业转入临床医学需要什么条件？2成功率有多大？3是降级转专业吗？4走国家专项在转专业时有限制吗？                                                                                                                   ,"临床医学不接受转入。国家专项在转专业时与一般批次学生条件相同。
"
3144,老师您好，我是河南文科考生，分数为641分，省排名412名。对贵校的经济学类、工商管理、法学比较感兴趣。不知道能否被录取。                                                                                                         ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3145,请问过了一本线而且报考预录学院就一定能录取吗？                                                                                                                                               ,"你好，是的。
"
3146,老师您好，请问贵校录取有专业级差吗                                                                                                                                                     ,"您好，今年取消专业级差。
"
3147,新疆理科考生633分，省521名，服从调剂，能录取到贵校吗？                                                                                                                                        ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3148,1请问贵校往年的国家专项计划录取分数线在哪里可以找到2若我被提档，在我服从调剂的情况下能否保证不被退档                                                                                                                   ,"2019年的国家专项录取情况http://admission.sysu.edu.cn/zs01a/1363147.htm。 2018年的国家专项录取情况http://admission.sysu.edu.cn/zs01a/55974.htm 2017年的国家专项录取情况http://admission.sysu.edu.cn/zs01a/53483.htm。在平行志愿批次，已投档至中山大学的考生，在思想政治品德考核合...[详细]
"
3149,老师您好，请问重庆文科638被贵校录取或被贵校经济学类（珠海）录取机会大吗                                                                                                                                 ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3150,考了667分！想去你学校学药学！能去吗？                                                                                                                                                  ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3151,"""您好"                                                                                                                                                                ,请问取得贵校高校专项计划的资格后
3152,老师好，能否提供中山大学天津招生组的联系方式/联系电话，咨询报考的相关问题。谢谢！                                                                                                                             ,"http://admission.sysu.edu.cn/zs01a/1378365.htm
"
3153,负责海南招生宣传老师的联系方式有没有？所有渠道都查不到，还是想咨询下转专业的具体条件，以及是否有可能进入临床8年专业？                                                                                                           ,"http://admission.sysu.edu.cn/zs01a/1378353.htm
"
3154,请问音乐表演在湖南招多少人？？是否有数据参考？？                                                                                                                                              ,"今年招收5人，谢谢！
"
3155,贵校深圳校区今年第一次招生吗？估计在河南的文科分数线是多少                                                                                                                                         ,"您好，深圳校区今年不是第一次招生，只是之前的学生都在广州进行培养，今年才开始陆续搬至深圳。河南文科预估线请电话咨询河南招生组http://admission.sysu.edu.cn/zs01a/1377970.htm
"
3156,贵校在四川国家专项的专业调剂是在国家专项专业内调剂，还是在贵校四川招收专业中调剂，或者在全校专业中调剂。                                                                                                                  ,"在国家专项专业内调剂
"
3157,您好，我是一名广东的文科考生。请问如果文科考生报读贵校的图书情报与档案管理类，能否分流至信息管理与信息系统专业？                                                                                                              ,"您好，可以的。
"
3158,今年北京高考新改革，大概录取位次多少？                                                                                                                                                   ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3159,你好，请问675分，能上你们的临床医学吗？                                                                                                                                                 ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3160,665分3594名，贵校录取几率大不大？                                                                                                                                                  ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3161,老师好，高考体检“色弱”，是否能够报考中山大学2组16382本科批次A阶段的各个专业？谢谢！天津考生                                                                                                                    ,"根据教育部《普通高等学校招生体检工作指导意见》，轻度色觉异常（俗称色弱）不能录取的专业：以颜色波长作为严格技术标准的化学类、化工与制药类、药学类、生物科学类、公安技术类、地质学类各专业，医学类各专业；生物工程、生物医学工程、动物医学、动物科学、野生动物与自然保护区管理、...[详细]
"
3162,新疆考生633分521位能报贵校吗                                                                                                                                                     ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3163,你好，福建文科省排399是否有机会被贵校金融学录取？                                                                                                                                            ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3164,请问中山大学法学2020山东招生名次大约多少                                                                                                                                                ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3165,请问有近几年广西的国家专项录取分数线吗，最好有最高分的                                                                                                                                           ,"2019年的国家专项录取情况http://admission.sysu.edu.cn/zs01a/1363147.htm。 2018年的国家专项录取情况http://admission.sysu.edu.cn/zs01a/55974.htm 2017年的国家专项录取情况http://admission.sysu.edu.cn/zs01a/53483.htm
"
3166,老师您好！山东考生615分，选课政治、历史、化学，排名17722，有机会报考贵校的历史学类、哲学类和汉语言文学吗？                                                                                                             ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3167,中外合作办学全部都是在国内读吗？全部是每学年都收6850吗？                                                                                                                                        ,"你好，是的。
"
3168,核工程与核技术专业学制几年怎么收费？                                                                                                                                                    ,"6850/年。
"
3169,老师您好，我是一位天津考生，请问一下674分能否被贵校录取                                                                                                                                         ,"您好，我校去年在天津录取的最低位次为1564名，今年情况应该相差不大，请您参考，谢谢!
"
3170,如果综合评价录取通过了，普通批次的志愿就没有用了对吗？                                                                                                                                           ,"您好，是的。
"
3171,当综合评价的志愿没有被录取，影不影响本科批次志愿？综合评价志愿是不是和普通本科志愿一起确认上报？                                                                                                                      ,"您好，不影响。两个志愿虽然一起填报，但综合评价会优先进行录取工作。
"
3172,请问一下指导意见上写的“不能准确在显示器上识别红黄绿蓝紫各种颜色中任何一种颜色的数码，字母”是什么意思？                                                                                                                  ,"您好，此条以高考体检结论为准。
"
3173,请问贵州省强基计划的审核名单在哪儿，怎么才知道                                                                                                                                               ,"你好，分数线公布如下http://admission.sysu.edu.cn/zs01a/1378565.htm，您也可以登录报名网站查看个人审核信息，谢谢！
"
3174,请问贵校强基计划入围名单在哪里可以查到？具体公布时间是好久？                                                                                                                                        ,"http://admission.sysu.edu.cn/zs01a/1378565.htm
"
3175,总成绩656，在天津总成绩位次3943名，外语语种，英语；炫酷科目：化学、生物、历史。语文126，数学132，英语134；历史100A5*，化学84B4*，生物82B4*，请老师给一报考建议？谢谢！                                                                   ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3176,请问贵校强基计划名单何时公布？                                                                                                                                                       ,"http://admission.sysu.edu.cn/zs01a/1378565.htm
"
3177,您好！贵校音乐表演专业在广东属于本科统考批次，属平行志愿，平行志愿应是分数优先，遵循志愿，但招生简章又规定在广东省招考方向按“志愿优先，遵循分数”原则进行录取，请问具体投档规则如何？例如省统考乐器为钢琴的考生报考贵校音乐表演钢琴专业，出档时是根据综合分排名按所有音乐表演...[详细]                        ,"您好！投档规则由广东省教育考试院确定，分数优先，遵循志愿。投档后，学校按照“志愿优先，遵循分数”原则进行专业录取。已投档至中山大学的考生，在思想政治品德考核合格、体检合格且服从专业调剂的情况下，均不退档。
"
3178,老师好，请问色弱可以报哪些专业？谢谢！                                                                                                                                                   ,"根据教育部《普通高等学校招生体检工作指导意见》，轻度色觉异常（俗称色弱）不能录取的专业：以颜色波长作为严格技术标准的化学类、化工与制药类、药学类、生物科学类、公安技术类、地质学类各专业，医学类各专业；生物工程、生物医学工程、动物医学、动物科学、野生动物与自然保护区管理、...[详细]
"
3179,老师您好！河南省，国家专项计划，理科，位次20000，有机会录取吗？敬请回复                                                                                                                                ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3180,你好，我是河南理科考生，667分能上该校的临床医院专业吗，如果被调剂，还能转回临床医学专业吗，谢谢                                                                                                                     ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3181,学生共有多少次转专业的机会，一般是什么时候                                                                                                                                                 ,"为充分调动学生的学习积极性，有利于学生的自身发展，学校允许确有专长或有特殊困难的学生转专业，使学生能根据个人特殊兴趣、专长选学专业，促进学生的个性发展。相关具体事宜可咨询中山大学教务部020-84112345.
"
3182,我是湖南考生，强基计划显示审核通过，但是没有看到入围通知，下一步该怎么办？                                                                                                                                 ,"http://admission.sysu.edu.cn/zs01a/1378565.htm
"
3183,山西考生理科638，位次2217，能达贵校哪些专业                                                                                                                                             ,"请参考历年专业录取分数。http://admission.sysu.edu.cn/zs01/zs01c/shanxi/1375275.htm
"
3184,福建省排399是否有机会被经济学录取？                                                                                                                                                   ,"您好，我校全年在福建的两个经济学类专业，文科录取最低位次分别的317和626，请参考，谢谢！
"
3185,今年高考569分，在中大广东综合评价初审入围者中排名第几？                                                                                                                                         ,"我校8月3日会公布综合评价初审入围名单，入围人数1200人，请耐心等待。
"
3186,老师您好，我是海南的考生，报了强基计划，什么时间可以确定是否入围？                                                                                                                                     ,"http://admission.sysu.edu.cn/zs01a/1378565.htm
"
3187,中大今年广东省综合评价初审入围人数是多少                                                                                                                                                  ,"我校8月3日会公布综合评价初审入围名单，入围人数1200人。
"
3188,请问在哪儿查看强基计划入围名单?                                                                                                                                                      ,"http://admission.sysu.edu.cn/zs01a/1378565.htm
"
3189,据官方发布26日公布入围名单，已经公布了吗？是通过什么方式通知或者通过什么渠道查询？                                                                                                                            ,"http://admission.sysu.edu.cn/zs01a/1378565.htm
"
3190,我是河南的一名考生，请问怎样看自己强基计划是否入围，什么时候会公开入围名单                                                                                                                                 ,"http://admission.sysu.edu.cn/zs01a/1378565.htm
"
3191,求问一下中山大学在天津市的招生办老师电话，有没有在天津市设立线下咨询会？                                                                                                                                  ,"http://admission.sysu.edu.cn/zs01a/1378365.htm
"
3192,您好，我是广东理科的一名考生，总分618，排名12135。我看到19年的最低排名相比18年的下降了3000名。据此，我能不能认为我的排名有一丝机会进中大？😿老师建议我填报贵校吗？非常感谢您能回答我的问题！                                                               ,"您好，今年预计不会继续下降，谢谢！
"
3193,"""理科664"                                                                                                                                                             ,"4878名，能入贵校吗？"""
3194,青海省考生总分599分，民族20分，全省排名200，请问能报取贵校吗？若可以请问可以考虑什么专业                                                                                                                      ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3195,请问中大强基计划什么时候公布名单？                                                                                                                                                     ,"http://admission.sysu.edu.cn/zs01a/1378565.htm
"
3196,请问强基计划通过名单什么时候公布，在哪能查到                                                                                                                                                ,"http://admission.sysu.edu.cn/zs01a/1378565.htm
"
3197,根据中山大学提供的网址：http://www.eeagd.cn进入之后会发现一个平行志愿投档信息交互平台的一个网页，首先与广东省考试院所发公告的网页不同，那么是否需要两个网页都进行志愿填报？还有就是登陆中山大学提供网址需要提供的用户名和密码分别是什么？                                        ,"您好，广东省教育考试院近期更新了网址，实际无区别，以广东省教育考试院提供的为准。
"
3198,河南理科考生674分，2546名，有多大可能被贵校录取                                                                                                                                           ,"您好，根据往年数据，被我校录取可能性很大，欢迎报考中山大学！
"
3199,综合评价信息现在还可以修改吗                                                                                                                                                        ,"您好，不可以。
"
3200,综合评价中填了不服从调剂，被退档后影响正常录取吗                                                                                                                                              ,"不影响。
"
3201,何时公布，在哪查询                                                                                                                                                             ,"http://admission.sysu.edu.cn/zs01a/1378565.htm
"
3202,上海考生553可以进中山大学吗                                                                                                                                                       ,"我校在上海去年最低录取位次约为4400名，请参考。
"
3203,广东文科排名大概多少有几率进入岭南学院或者国际金融学院？                                                                                                                                          ,"请参考去年各专业录取排名，谢谢！http://admission.sysu.edu.cn/zs01a/1378391.htm
"
3204,你好，我是广东一名文科考生。请问选专业服从调剂是否可能会被调剂到中外合作专业？谢谢！                                                                                                                            ,"您好，不会。
"
3205,海南考生741分排名466-485有希望被贵校录取吗？                                                                                                                                           ,"您好，请咨询我校海南招生组，谢谢！http://admission.sysu.edu.cn/zs01a/1378353.htm
"
3206,高校专项计划入选246人，最终录取160人，是有一部分人要淘汰吗                                                                                                                                      ,"不会，在名单内考生若按预录取专业填报且高考分数超过一本线，全部予以录取。
"
3207,中山大学今年在海南高校专项计划不招生吗                                                                                                                                                   ,"您好，高校专项是面向全国，但没有单独为某个省份做计划。
"
3208,中山大学在上海招生会出现退档情况吗？（在同意专业调剂的情况下）                                                                                                                                       ,"若服从调剂，我校提档后不会退档。
"
3209,河南6557724名，国家专项报考中山大学几率大吗？                                                                                                                                            ,"2019年的国家专项录取情况http://admission.sysu.edu.cn/zs01a/1363147.htm。 2018年的国家专项录取情况http://admission.sysu.edu.cn/zs01a/55974.htm 2017年的国家专项录取情况http://admission.sysu.edu.cn/zs01a/53483.htm
"
3210,黑龙江省文科606分423名有可能录取吗                                                                                                                                                  ,"您好，我校去年在黑龙江录取的文科最低位次为243名，请您参考，谢谢！
"
3211,湖北理科638分报中山大学录取可能性大吗？                                                                                                                                                 ,"您好，我校去年在湖北录取的理科最低位次为4666名，请参考，谢谢！
"
3212,高考分与预估分相差在哪个范围内才能冲一冲                                                                                                                                                  ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3213,请问广东省综合评价填报若填不服从调剂，然后分数未达到而被退档，会不会影响本科普通批次的院校录取                                                                                                                       ,"您好，不会。
"
3214,广东省的综合评价的填报时间是在26日之前吗                                                                                                                                                 ,"7.26-8.2
"
3215,我近视700多度                                                                                                                                                              ,"以教育部规定为准，请参考。http://www.moe.gov.cn/srcsite/A15/moe_776/s3258/200303/t20030303_79883.html
"
3216,已被中山大学药学拟录取，但正式录取后可以转专业吗                                                                                                                                              ,"可以，转专业详情请咨询020-84112345.
"
3217,请问强基计划入围名单什么时候会进行公布？在哪里查询                                                                                                                                             ,"http://admission.sysu.edu.cn/zs01a/1378565.htm
"
3218,老师好！请问提前批的农学具体是什么方向？                                                                                                                                                  ,"作物学、植物保护、农业资源与环境、食品科学与工程等学科方向。
"
3219,老师好！我想报考中山大学，可我又几个问题不明，特请教老师。谢谢！1、如果我报考贵校填满六个专业，服从调剂，是从这六个专业里调适合我分数的专业，还是会从招生的全部专业里调剂。2、如果我报考贵校填满六个专业，不服从调剂，会不会被退档，致使我下面志愿不可以选学校。如果我没有考虑...[详细]                       ,"1、若六个专业都未录取，会从本省可填报的所有志愿里调剂。2、若服从调剂，则不会退档，若不服从，则存在退档可能性。
"
3220,北京市考生644分，排名3180，选科物理，历史，地理，是否能进入贵校学习？能进去哪个专业？谢谢！                                                                                                                     ,"我校去年在北京各专业最低的录取位次分别为：总体2592、物理1439；历史与地理在北京无招生计划。
"
3221,强基计划入围名单什么时候公布，没入围的学生或入围的学生，院校怎样告知                                                                                                                                    ,"http://admission.sysu.edu.cn/zs01a/1378565.htm
"
3222,您好青海文科599分全省67名可以报考吗                                                                                                                                                  ,"您好，我校去年在青海录取的文科最低位次为91名，请参考，谢谢！
"
3223,上海考生分数556，排名4013有机会去贵校嘛？谢谢                                                                                                                                            ,"我校去年在上海录取的最低位次约为4200多名，请参考，谢谢！
"
3224,湖南音乐美声文科专业考生                                                                                                                                                          ,"请电话联系负责贵省市的招生组，获取最准确消息，谢谢！http://admission.sysu.edu.cn/zs01a/1378345.htm
"
3225,河南省理科分数667，位次4082，报考本校什么专业能录取                                                                                                                                         ,"请参考我校历年在河南的各专业录取线http://admission.sysu.edu.cn/zs01/zs01c/henan/1375273.htm
"
3226,请问在甘肃招生今年有分数级差吗                                                                                                                                                       ,"无级差。
"
3227,电子科学与技术是贵校的一流学科，但是学科评估结果仅为B类，请问贵校的该专业实力如何？哪种评估更权威？                                                                                                                    ,"第四轮学科评估时间在前，一流学科评选时间在后，请参考，谢谢！
"
3228,请问天津女，691分，物理或化学综合排名523名，能报咱们校什么专业？                                                                                                                                   ,"您好，请咨询我校天津招生组，谢谢！http://admission.sysu.edu.cn/zs01a/1378365.htm
"
3229,今天什么时间可以开始查询强基计划入围情况？会有入围的位次吗                                                                                                                                         ,"http://admission.sysu.edu.cn/zs01a/1378565.htm
"
3230,请问通过贫困专项进入中山大学，有没有转专业的机会？                                                                                                                                             ,"有。
"
3231,老师您好，请问中山大学强基计划入围名单何时公布？在哪里查询？                                                                                                                                        ,"http://admission.sysu.edu.cn/zs01a/1378565.htm
"
3232,中山大学在甘肃省高校招生咨询老师联系电话是多少？谢谢                                                                                                                                            ,"http://admission.sysu.edu.cn/zs01a/1377951.htm
"
3233,我女儿报了中山大学的综合评价招生，是临床医学深圳校区，请问什么时候有通知。                                                                                                                                 ,"您好，我校将于8月3日公布面试考核入围名单，谢谢！
"
3234,我是报中山大学综合评价招生临床医学深圳校区，请问临床医学深圳校区目前设置完备了吗？                                                                                                                             ,"目前深圳校区的临床医学暂时在广州进行办学，将于明年搬至深圳。
"
3235,1.河南考生理科670分，省排名3375，报贵校的计算机类、电子信息专业有希望录取吗？2.能转专业吗？概率有多大？                                                                                                             ,"1.请参考我校历年在河南各专业录取分数，谢谢！http://admission.sysu.edu.cn/zs01/zs01c/henan/1375273.htm2.为充分调动学生的学习积极性，有利于学生的自身发展，学校允许确有专长或有特殊困难的学生转专业，使学生能根据个人特殊兴趣、专长选学专业，促进学生的个性发展。相关具体事宜可咨...[详细]
"
3236,福建排名959，分数661，有什么专业推荐                                                                                                                                                 ,"请参考我校往年在福建各专业录取线，谢谢。http://admission.sysu.edu.cn/zs01/zs01c/fujian/1375293.htm
"
3237,若我被贵校提档，且我服从专业调剂，是否仍有被退档的风险？                                                                                                                                          ,"不会。
"
3238,你好，河南考生国家专项计划（文史类）在贵校近三年录取分数情况、位次情况是怎样？与一本分数线相差多少？谢谢！                                                                                                                 ,"2019年的国家专项录取情况http://admission.sysu.edu.cn/zs01a/1363147.htm。 2018年的国家专项录取情况http://admission.sysu.edu.cn/zs01a/55974.htm 2017年的国家专项录取情况http://admission.sysu.edu.cn/zs01a/53483.htm
"
3239,1.任报您学校一专业，大一时可以转其它所有专业么？2.任报您学校一专业，大一时可以转同大类所有专业么？                                                                                                                   ,"为充分调动学生的学习积极性，有利于学生的自身发展，学校允许确有专长或有特殊困难的学生转专业，使学生能根据个人特殊兴趣、专长选学专业，促进学生的个性发展。相关具体事宜可咨询中山大学教务部020-84112345。
"
